,Conference,city,country,year
0,ISMB 1993,Bethesda, United States,1993
1,ISMB 1994,Stanford, United States,1994
2,ISMB 1995,Cambridge, United Kingdom,1995
3,ISMB 1996,St. Louis, United States,1996
4,ISMB 1997,Halkidiki, Greece,1997
5,ISMB 1998,Montreal, Canada,1998
6,ISMB 1999,Heidelberg, Germany,1999
7,ISMB 2000,San Diego, United States,2000
8,ISMB 2001,Copenhagen, Denmark,2001
9,ISMB 2002,Edmonton, Canada,2002
10,ISMB 2003,Brisbane, Australia,2003
11,ISMB/ECCB 2004,Glasgow, United Kingdom,2004
12,ISMB 2005,Detroit, United States,2005
13,ISMB 2006,Fortaleza, Brazil,2006
14,ISMB/ECCB 2007,Vienna, Austria,2007
15,ISMB 2008,Toronto, Canada,2008
16,ISMB/ECCB 2009,Stockholm, Sweden,2009
17,ISMB 2010,Boston, United States,2010
18,ISMB/ECCB 2011,Vienna, Austria,2011
19,ISMB 2012,Long Beach, United States,2012
20,ISMB/ECCB 2013,Berlin, Germany,2013
21,ISMB 2014,Boston, United States,2014
22,ISMB/ECCB 2015,Dublin, Ireland,2015
23,ISMB 2016,Orlando, United States,2016
24,ISMB/ECCB 2017,Prague, Czech Republic,2017
25,ISMB 2018,Chicago, United States,2018
26,ISMB/ECCB 2019,Basel, Switzerland,2019
