Conference,city,city_id,country,year
ISMB 1993,Bethesda,Q584451,United States,1993
ISMB 1994,Stanford,Q173813,United States,1994
ISMB 1995,Cambridge,Q350,United Kingdom,1995
ISMB 1996,St. Louis,Q38022,United States,1996
ISMB 1997,Halkidiki,Q204728,Greece,1997
ISMB 1998,Montreal,Q340,Canada,1998
ISMB 1999,Heidelberg,Q2966,Germany,1999
ISMB 2000,San Diego,Q16552,United States,2000
ISMB 2001,Copenhagen,Q1748,Denmark,2001
ISMB 2002,Edmonton,Q2096,Canada,2002
ISMB 2003,Brisbane,Q34932,Australia,2003
ISMB/ECCB 2004,Glasgow,Q4093,United Kingdom,2004
ISMB 2005,Detroit,Q12439,United States,2005
ISMB 2006,Fortaleza,Q43463,Brazil,2006
ISMB/ECCB 2007,Vienna,Q1741,Austria,2007
ISMB 2008,Toronto,Q172,Canada,2008
ISMB/ECCB 2009,Stockholm,Q1754,Sweden,2009
ISMB 2010,Boston,Q100,United States,2010
ISMB/ECCB 2011,Vienna,Q1741,Austria,2011
ISMB 2012,Long Beach,Q16739,United States,2012
ISMB/ECCB 2013,Berlin,Q64,Germany,2013
ISMB 2014,Boston,Q100,United States,2014
ISMB/ECCB 2015,Dublin,Q1761,Ireland,2015
ISMB 2016,Orlando,Q49233,United States,2016
ISMB/ECCB 2017,Prague,Q1085,Czech Republic,2017
ISMB 2018,Chicago,Q1297,United States,2018
ISMB/ECCB 2019,Basel,Q78,Switzerland,2019
